#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
"wolfgirl.bar",suspend,false,false,"FediFence.Social",false
"wolfie.pw",suspend,false,false,"FediFence.Social",false
"wolfschouten.nl",suspend,false,false,"FediFence.Social",false
"wreck.rocks",suspend,false,false,"FediFence.Social",false
"xenofem.me",suspend,false,false,"FediFence.Social",false
"xhais.love",suspend,false,false,"FediFence.Social",false
"xmrposter.club",suspend,false,false,"FediFence.Social",false
"xn--p1abe3d.xn--80asehdb",suspend,false,false,"FediFence.Social",false
"xyenon.bid",suspend,false,false,"FediFence.Social",false
"yggdrasil.social",suspend,false,false,"FediFence.Social",false
"youjo.love",suspend,false,false,"FediFence.Social",false
"zombiecats.run",suspend,false,false,"FediFence.Social",false
"zztails.gay",suspend,false,false,"FediFence.Social",false
