domain,block_type,reject_media,reject_reports,private_comment,public_comment,obfuscate
"salastil.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"schelling.pt",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"seahorse.sh",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"seal.cafe",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"shadowkat.net",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"shigusegubu.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"shitpost.cloud",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"shitpost.racing",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"shitposter.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"shortstackran.ch",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"shota.house",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"shota.social",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"shpposter.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"shrine.moe",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"shunderdo.me",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"sick.social",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"singing.dog",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"skinnyver.se",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"skyjake.fi",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"skyshanty.xyz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"slash.cl",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"sleepy.cafe",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"smittenkittens.xyz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
